2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m
11400;28500;;13200;10900;30100;17500;45300;72100;16000;149800;55400;18700;197600;221700;31300;117300;87200;57600;57700;73200;38900;42200;82500;19300;52300;71400;51300;76800;112600;33700;341800;292500;38300;72600;86700;35200;71700;147100;72900;365300;148600;70400;136000;248100;;49700;324100;43000;740400;196300;28200;86300;169500;207900;;168400;78700;81400;154200
22500;11800;;8000;11800;36300;14501;40600;64300;38700;23300;56601;15700;13100;63401;27500;92900;81300;29900;28600;122500;54800;35400;76500;38800;42500;65200;64900;71100;94400;35700;270000;106000;30300;72600;159100;25500;87000;110700;23800;289800;109500;52500;99000;241300;;52300;311600;32200;473200;166800;33900;76300;168900;146400;544000;162200;57600;76600;145300
35500;20800;;8200;15900;46900;28000;31400;81700;15200;19300;40000;15900;27900;68000;35100;90400;74800;45800;36800;83600;52400;41200;70600;14400;62500;55100;34300;104700;94800;53700;84400;116500;26600;72600;147900;32600;74300;138200;43800;274300;205500;55800;102400;255900;;110100;235600;28400;342000;290800;34300;60800;336300;41000;;1360100;38700;83600;182300
12100;14400;;93000;8100;57900;15600;40800;73201;11101;;46900;22000;10200;59000;23400;80200;100800;27400;30700;76600;39400;37500;88900;37800;78500;47800;35000;132400;95600;50400;51200;190400;29500;271900;172100;23500;69200;132500;45700;643100;128600;106300;92300;201100;;57900;257700;41300;321600;234800;53600;77700;239700;28000;;1365400;36800;72800;177100
16600;8500;28100;4400;6100;27900;14101;39200;64800;15500;54200;52400;24199;181100;166800;33700;37400;85900;28400;43000;225400;43400;38600;82300;17200;40700;63100;32000;75500;95600;44200;59300;162700;73200;78300;130100;48800;72300;;56300;69000;124400;170500;52700;253600;;78000;218100;50200;295000;153200;124300;92300;182800;34100;;124700;39800;90800;205300
18600;45400;23700;3500;112400;66200;11000;20800;61000;12300;17600;49001;43100;128600;74001;23100;77000;61800;29300;41700;88300;31300;36100;75400;16500;49900;156200;38200;78000;120100;47600;102500;162500;83100;59700;130100;63800;89600;;47000;56300;124400;60500;67100;250500;;113300;229600;64300;298300;181800;145600;49800;;70100;;141700;53200;90800;206400
12200;57400;21100;6700;88300;71000;41500;;142301;11001;21599;49800;12000;126600;91600;36000;56200;91300;36400;27700;92600;45600;200400;133300;15400;32000;1283100;57100;172600;120100;28000;98100;156400;51400;71200;130100;21800;89600;174100;44200;48100;124400;28200;67100;229300;;;197700;68500;44800;165700;78400;61900;;66700;615300;184900;112300;727300;205200
15100;27700;16700;5900;7900;29000;25201;70401;222900;19900;72600;49800;9000;12001;75399;23200;51000;76100;33600;27700;90300;57300;88900;135400;16700;35300;60000;55800;234600;244900;31700;76600;156400;52800;56700;130100;59700;317200;;53900;38200;124400;34500;67100;210500;;284700;203700;66100;46200;172600;77000;81500;;66000;56700;117400;50400;727300;223800
12900;14400;18400;5400;14100;38300;29199;62000;168100;27699;92000;300600;12401;34100;62701;23300;51000;76100;46300;27700;84400;52300;152500;162800;32900;611300;1215900;25700;95700;;34200;59200;156400;56400;68500;130100;46200;47300;;55000;39600;106700;;224500;225100;;661300;203700;66300;63200;197200;57000;870500;852100;55400;32700;155000;45300;910000;203200
7000;6700;22100;5900;30500;33700;28000;52100;77800;28501;48001;253501;37900;127700;63999;21200;51000;90200;47800;27700;82300;30500;152500;69000;13200;24100;959900;25500;162300;103700;27300;584000;156400;53500;60400;130100;50100;56100;129300;56800;58000;104400;47500;315100;225100;;339700;203700;67500;51400;176400;78600;767900;732700;68600;39200;170300;48500;309600;301300
41700;5300;22100;5500;6100;30400;17600;57799;67601;11700;21500;253501;23200;27401;58699;19500;51000;90200;25800;27700;79400;31100;152500;137200;;22700;84300;28700;162300;98400;26400;248500;123100;53600;61400;169700;41300;52300;123200;63400;60500;122100;67400;280600;225100;;61900;203700;57400;212000;174000;68200;799000;149200;69200;46800;178600;56500;;1240600
16400;14300;99300;5300;7400;62100;37000;68600;60200;20799;16000;232600;18400;43599;95000;19400;51000;90200;34600;27700;78700;139400;152500;86500;26700;23800;90400;25200;162300;96200;33800;278600;95700;54100;61400;177600;46600;55100;133800;49000;659000;131400;32500;276000;225100;;84600;203700;58500;61300;174000;64100;664700;213400;69000;61300;137400;35500;;1432800
26600;32000;19800;10800;;55900;11001;82799;90301;27901;24701;51800;27001;25299;67000;30000;51000;796000;57100;27700;91200;47000;152500;67600;32400;45200;56300;23900;;123400;27400;54000;111300;53200;888900;168800;58500;48300;113500;53900;375200;138500;29900;105300;225100;;69500;203700;68300;279600;174000;67600;594000;152300;67200;61300;131900;28400;;1232500
45100;6100;15700;13700;128500;30300;38700;63200;56600;20701;155000;37600;28500;36099;60000;32900;51000;70500;67600;27700;84000;;280000;87000;26500;66900;53800;22900;;97400;39900;51700;117000;51000;;100300;44500;46700;127800;28300;518400;114400;25700;113200;225100;;76900;203700;67500;337500;174000;68700;37600;1220500;62100;61300;138600;208600;;1646700
13000;8600;26800;21700;19700;38100;28400;41500;63599;25300;26599;50901;23500;28700;62900;16500;143000;59100;45000;34600;90900;63200;299100;89200;37300;37600;57700;33000;;109300;63300;60300;110700;53800;239900;150800;51100;54000;99600;59000;310500;157500;45100;81400;225100;;66500;203700;37300;47600;174000;28600;47000;1027300;60200;61300;161100;204800;;1847400
30500;34600;50500;15400;13500;28400;26900;45600;59500;26400;21399;45400;30400;20200;60499;66100;52000;56800;52500;33900;76900;64100;217100;82900;31000;330000;54400;50100;;134600;31200;53600;151000;53600;239900;91000;61100;310400;194800;56300;64200;157500;30300;70500;229200;;62300;203700;65300;89400;260800;63500;71800;148300;67500;564100;159200;68200;;1847400
30500;6900;17100;20300;22600;64300;26799;50301;77999;26901;21600;46300;21099;36801;561200;36900;44900;57200;41200;32300;88100;29300;255700;81500;37000;188900;56200;53800;104900;123400;39800;61000;112400;25200;207700;105300;44800;333100;95800;42600;59700;157500;29900;72700;244000;;42800;231400;72700;87500;165500;64500;54600;146000;57900;447700;165800;59500;1052500;1847400
30500;6200;23600;9900;10100;34400;27000;49299;58899;30800;21500;39599;24700;69000;470499;38000;46300;65700;38600;25400;81700;41800;277300;74700;30600;186900;59700;26700;78100;;60000;59900;161800;27500;207700;85100;68300;487100;;39700;50100;149700;47900;92600;158000;;42800;236200;31200;83300;177300;64800;52200;;70200;391100;172600;67900;1006700;1847400
30500;25700;20600;16700;7900;38300;16400;50401;68400;28200;26099;34199;8500;151100;493901;108800;50400;218800;40300;22200;90900;39300;27800;135700;43300;162800;56200;47600;59300;99900;38100;285100;161800;;;118100;46400;468200;;42500;59900;132600;26400;346000;179700;;42800;286600;58000;605800;299300;64100;702500;164600;54400;464800;166200;59900;;1847400
30500;13600;37600;6900;4400;90700;17100;47600;66700;27299;35499;179799;26300;11000;67900;36700;37000;77500;29400;33900;83300;64400;20900;81400;37300;37300;94300;45600;57100;98400;51000;294300;161800;30900;31200;122100;34400;546200;;29900;49100;119800;30800;184200;487100;;42800;195300;74400;611900;288400;62800;429500;150600;69200;377800;165100;69100;1349300;127500
8600;32400;20000;7700;8600;63500;27200;21700;62800;26600;54200;152600;22900;20600;60200;39900;96400;77500;20400;20200;93400;125600;26900;103500;36500;64800;59000;27000;52300;107700;64000;380000;161800;49400;39100;149700;50400;48200;;24100;49900;117200;43500;395600;222300;;359100;246600;69400;577600;267300;69100;601600;128100;70300;412900;759300;68200;1130600;157700
20200;18200;19900;6500;6000;27500;23800;94100;70501;36800;104500;122700;21500;72501;60299;41900;28600;572700;22000;20200;114000;49800;36400;103500;14000;48900;58400;118200;73700;116300;53800;369400;161800;25200;48500;119200;45400;33700;;45100;54400;139800;29500;516500;233800;;38100;235500;69400;411800;324500;78200;53000;208500;68600;463800;134700;69900;1197100;175900
10400;24400;17100;13400;7700;38100;25100;83300;102100;35200;17701;45400;18400;35400;64400;41000;81600;500700;65900;20200;1060300;61500;54000;260400;18000;42800;55700;45900;210800;100900;66000;226400;161800;26500;44900;156600;36100;38700;211500;23300;54400;144400;29900;;222400;;105000;154200;65200;59800;280400;61400;51300;131400;68000;417500;180300;68500;979500;227300
19700;47800;27500;8900;4600;33700;27000;107800;65000;34901;20100;36800;33500;158100;63299;44200;53200;70400;65900;485100;1100700;26700;34100;198800;33400;673400;49400;42000;128900;222300;56800;215700;102700;53000;44200;142200;48000;38500;160000;45800;54400;204500;51300;481300;216800;;78000;152500;69100;60100;290100;69700;48100;1186500;66900;445200;180300;73700;1096900;292100
23000;19700;18100;6700;13300;34300;10001;26700;59699;34900;28001;44200;12200;15100;69200;40200;141900;54800;65900;30800;714400;47300;22900;163400;23000;276600;50400;42200;153600;121800;51700;261300;156400;50800;242100;98300;20300;283100;126000;32400;54400;208600;36700;373500;186000;;74300;167400;54800;73800;289400;63900;60300;149500;67100;579400;1241100;67100;1019200;223900
7600;22400;29400;12000;9200;49100;34700;53400;124800;27899;23900;40100;9400;23299;57399;32800;43200;62900;18100;26400;143400;52100;25700;87800;32800;90700;59200;22400;75100;181200;43200;73800;174800;48800;367000;125000;46600;267600;132100;63100;54400;177100;38500;524400;209700;;52900;154900;85400;59000;186300;44700;76900;113100;69000;445100;1465900;66900;1022200;202800
9900;13000;58300;19500;12100;96400;38000;57399;59500;18701;23000;35401;13800;116201;59800;24300;30700;95600;35000;46900;91900;52100;33800;71700;38600;21200;70900;50900;104300;97700;35800;48000;111300;120200;253000;150500;36300;267600;136700;51700;272700;177500;45300;71300;155100;;56500;156800;67400;42300;889500;57900;35700;141200;66400;394600;169500;68500;1022700;276200
5800;16300;45400;6600;23100;29900;26800;55601;59400;20001;20099;65501;25201;95300;261200;40700;98600;84600;37500;66800;94100;93000;59000;80300;36600;60400;58200;51700;82300;97700;47000;61400;126100;50400;48600;150500;42200;51200;114200;41300;538900;177500;25000;62500;155100;;56500;156800;70700;60000;170300;68000;464600;118600;68400;417500;119900;68600;1241100;165900
8600;21400;116400;24800;5400;30000;26899;55900;56500;9001;31801;63899;16299;9500;375900;43000;44000;77500;38300;55200;94100;25300;37100;80000;18200;33000;75200;50200;60200;184100;62900;52300;139300;44600;42400;150500;32700;39800;135300;47100;600200;177500;30000;76200;155100;79400;56500;156800;57700;350200;158900;55400;527800;248100;68200;528800;148700;61900;1396700;187400
13400;40000;20900;12200;14500;29100;32100;19299;59200;34000;42399;41101;28600;10601;60301;39200;54200;79400;48700;33300;94100;40300;278400;82300;41700;33000;90200;24300;72300;186400;48100;155900;116800;49800;42100;150500;32500;44500;115600;43000;319500;177500;28900;75300;155100;104600;56500;156800;60200;396000;160100;66600;718600;150800;67000;601800;129500;67600;849300;128500
15200;35700;18500;10200;7800;30700;24000;16600;63800;26399;24000;34800;26900;17100;57800;42000;44100;79400;51700;33300;92700;38800;279400;85300;33700;47200;59000;25000;61600;101200;37400;320500;97500;49800;43300;126900;45500;59400;114500;53500;313800;126100;57100;244300;155100;74200;56500;156800;65600;416700;189300;66800;717900;181600;67600;1090500;181900;69300;697300;128500
12300;7800;18800;14200;6400;38100;22200;21001;60400;20801;21800;42600;36500;30500;62800;40300;31400;494900;38500;622900;153100;40100;198600;76500;122000;47200;839600;18700;134600;158200;63300;302500;423100;40700;51700;123900;38500;78900;171900;62000;42600;121000;61900;387500;155100;76000;56500;156800;67500;397500;455800;68500;447300;122700;67700;838900;115900;63000;761200;128500
11100;7300;18300;5300;7000;193800;17700;14599;184000;18899;18599;46500;17501;45100;57000;25100;42200;82800;43900;43400;82000;40000;34700;144600;17200;60800;66200;20900;148100;165700;61900;54100;423100;54800;202500;208900;44200;62500;166300;55100;39900;117200;28500;303800;155100;74900;240700;156800;67200;289000;204300;68900;465100;107400;67400;814400;443000;76400;1154500;128500
13800;6800;18300;20700;4900;246600;28601;14599;78800;28599;14700;35700;13901;13300;61700;43700;78000;110800;40100;38100;97200;41200;21100;907100;34400;657900;56300;50600;131000;160700;59400;62300;423100;54800;202800;155500;28500;62500;166300;55300;36700;133700;29900;312600;167400;71700;417000;989500;79700;257800;208200;66600;51800;;67300;48900;123400;68000;805200;128500
23000;5900;18300;12300;47400;42800;29700;17300;253000;22400;29600;37000;30300;40501;60800;42600;55300;62600;40300;38300;77000;18200;20900;907100;33900;645600;56300;42400;71600;122400;56000;52800;423100;46500;42100;127200;21300;865900;166300;44400;38200;203300;29400;963600;208400;85500;65800;171700;84500;49900;199700;67600;52800;708900;65400;81100;1333100;65300;1218900;128500
13700;6400;49700;7100;41600;38300;27601;16000;65500;27300;16801;39500;32501;16000;70501;43000;121500;54600;28100;49300;79700;21400;21500;189700;32100;599600;56300;50200;72400;261000;56600;64100;147200;39000;573300;133100;51600;257800;;55100;310600;159400;60400;355900;177700;76300;48300;174100;67400;50800;372000;68000;42800;137000;67900;386800;154200;67000;997000;68687600
